Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
28,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ14,Never
29,1670405001070,07/12/2022 09:23:21,1670405000880,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ14-quantised,1
30,1670405001070,07/12/2022 09:23:21,1670405000881,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ15,Never
31,1670405001070,07/12/2022 09:23:21,1670405000881,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ15-quantised,1
32,1670405001070,07/12/2022 09:23:21,1670405000881,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ16,Always
33,1670405001070,07/12/2022 09:23:21,1670405000881,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ16-quantised,5
34,1670405001070,07/12/2022 09:23:21,1670405000881,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,349121
1,1671023782400,14/12/2022 13:16:22,1671023782327,0,14/12/2022 13:16:22,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1671023915223,14/12/2022 13:18:35,1671023915211,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ1,Often
3,1671023915284,14/12/2022 13:18:35,1671023915212,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ1-quantised,4
4,1671023915284,14/12/2022 13:18:35,1671023915212,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ2,Often
5,1671023915284,14/12/2022 13:18:35,1671023915212,0,14/12/2022 13:18:35,100427,13,questionnaire-ab2a,,25951226,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,,first_interoception,,BA,BA,accept,No,TEQ2-quantised,4
